Waffles, buttermilk, frozen, ready-to-heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.48,374,1564,7.12,17.12,2.44,47.84,0.7,24.9,24.1,0,0,0.59,0.23,16,73,0.98,11,200,350,510,0.8,0.03,0.24,13.3,0,0.02,0.08,1.2,0.7,0.04,33,21,12,48,36.5,0.35,0,141,135,81,0,1,584,0,41,0.96,0,0.09,6.9,3.49,0.02,0,0.04,0,14,0.3,11.2,4.612,0.16,0.028,0.017,0.06,0.046,0.174,0.02,2.396,0.028,1.581,0.046,0.042,0.015,6.794,0.014,0,0.103,0.011,6.606,0.06,0,4.428,3.814,0.526,0,0.007,0.006,0.053,0,0.004,0.014,2.027,59,0.07,0.21,0.3,0.65,0.5,0.28,0.06,0.37,0.23,0.43,0.25,0.15,0.36,0.59,1.33,0.2,0.83,0.45,0,0,,,,,
Bread, pound cake type, pan de torta salvadoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.38,390,1634,7.06,17.45,1.82,51.29,1.7,18.1,17.3,0.27,0.25,0,0.28,25.2,46,2.2,19,300,210,390,0.62,0.03,0.26,13.5,0.07,0.18,4.7,0.55,0.05,1.42,0.77,7.7,3.79,0,0,0,0,3.042,0,0.003,0.002,0.024,0.006,0.033,0.005,2.028,0.019,0.804,0.05,0.051,0.017,4.411,0,0,0.046,0.01,4.259,0.093,0.003,9.424,8.16,1.213,0,0.009,0.004,0.025,0.002,0,0.007,0.16,0.09,0.16,0.24,0.54,0.15,0.18,0.06,0.35,0.17,0.33,0.18,0.1,0.29,0.39,2.17,0.23,1.09,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry, Pastelitos de Guava (guava pastries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.26,379,1588,5.48,18.5,0.99,47.76,2.2,17,12.37,2.29,1.41,0,0.93,0,24.65,14,2.12,15,56,103,231,0.42,0.079,0.265,17.5,0.19,0.117,2.493,0.27,0.053,17,0,3,348,14,0.95,0.12,6.81,2.43,0,0,0,0,12.5,29.1,5.535,0,0,0.021,0.007,0.064,0.01,2.26,0.035,3.014,0.057,0.049,0.018,8.543,0.01,0,0.057,0,8.434,0.042,0,2.835,2.661,0.163,0,0.003,0,0.004,0,0,0.001,2.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crackers, snack, Goya Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.93,433,1812,14.25,13.35,2.12,64.35,3.8,2.35,0,0,0.47,0,1.88,0,57.8,16,5.66,39,145,124,665,1.17,0.155,0.625,6.323,0.004,0,0.005,0.005,0.038,0.132,0.007,5.49,0.014,0.563,0.045,0.009,0.012,4.697,0,0,0.022,0.003,4.639,0.025,0.002,1.536,1.492,0.038,0,0.001,0,0.002,0.002,0,0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crackers, cream, Gamesa Sabrosas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.45,484,2025,7.01,20.37,3.62,64.55,2.4,9.37,6.22,0.92,0.95,0,1.27,0,51.87,26,7.38,25,98,129,1148,0.66,0.111,0.778,9.5,0.298,0.24,5.08,0.462,0.065,149,148,2,253,0.46,1.59,0.37,5.38,2.01,0.04,1.05,0.97,0.32,17.9,21,5.362,0.006,0,0.014,0.012,0.032,0.082,0.006,4.134,0.02,0.929,0.056,0.049,0.021,10.625,0.002,0,0.02,0.007,10.556,0.036,0.002,2.45,2.402,0.045,0,0,0,0.001,0,0,0,3.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crackers, cream, La Moderna Rikis Cream Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
